Category,Name,Type,Description
Indian dishes,Sajjige,South India,a sweet dish
Indian dishes,Sakkara pongal,South India,a sweet rice dish
Indian dishes,Sambar,South India,"Lentil soup cooked with vegetables and a blend of south Indian spices (masala). Usually taken with rice, idli, dosa, pongal or upma."
Indian dishes,Sandige(Karnataka),South India,"Deep fried meal accompaniment made with rice, sago and ash gourd"
Indian dishes,Sevai,South India,Kind of rice vermicelli used for breakfast
Indian dishes,Sevai lunch,South India,Kind of rice vermicelli mixed with either tamarind or lemon or coconut.
Indian dishes,"Thayir sadam, mosaranna",South India,a curd rice dish
Indian dishes,Theeyal,South India,"Kerala sauce made from a mixture of spices consisting of roasted coconut, coriander seeds, tamarind water, dried red chili and fenugreek."
Indian dishes,Thengai sadam,South India,a coconut rice dish
Indian dishes,Uttapam,South India,Rice pancake/hopper with a topping of onions / tomatoes / coconut
fried dough foods,Vada,Fried dough foods,"Also called vara, bara, etc., this is lentil cakes shaped into patties or donut shapes"
Indian dishes,Varuval,South India,Vegetables fried in shallow oil
Indian dishes,Wheat upma,South India,A breakfast dish and snack. Upma prepared from wheat dhalia rava.
Indian dishes,"Yelumincham sadam, chitranna",South India,Rice with lemon juice
Indian dishes,Amti,West India,a Lentil curry with Split lentils.
Indian dishes,Zunka or Pitla,West India,"A dish made of besan (gram flour) with minced onion, green chilles,and coriander (cilantro) .  Usually eaten with bhakri or chapati."
Indian dishes,Kolim / Jawla,West India,A preparation of dried fish named Kolim or Jawla found in coastal Maharashtra with onion and spices. Usually eaten with bhakri or chapati
Indian dishes,Saath,West India,A chewy plain flat circular sweet made of dried mango (sometimes jackfruit) juice/pulp.Usually made in Konkan region of Maharashtra || 
Indian dishes,Naralachi vadi / Khobryachi vadi / Coconut vadi,West India,A sweet made of coconut and sugar syrup which is cooled and dried till it becomes firm. Usually made in konkan region
Indian dishes,Bajri no rotlo,West India,Bread made with thick millet flour flatbread usually grilled over coals.
snack foods from the Indian subcontinent,Modak,,"A sweet delicacy shaped like a dumpling native to Maharashtra, Gujarat, and Southern India.  The sweet filling inside a modak is made up of fresh grated coconut and jaggery, while the soft shell is made from rice flour, or wheat flour mixed with khava or maida flour. The dumpling can be fried or steamed. The steamed version, called ukdiche modak, is eaten hot with ghee. Modak has a special importance in the worship of the Hindu god Ganesh. During the Ganesh worship ceremony, known in India as Ganesh Chaturthi the puja always concludes with an offering of modaks to the deity and as prasad."
Indian dishes,Barfi,West India,Sweet
snack foods from the Indian subcontinent,Basundi,,"An Indian dessert mostly in Bihar, Maharashtra, Gujarat, and Karnataka, it is a sweetened condensed milk made by boiling milk and sugar on low heat until the milk is reduced by half. It is often made on Hindu festivals such as Kali Chaudas and Bhaubeej (Bhai Dooj)."
Indian dishes,Bhakri,West India,"Whole wheat flour bread, thicker than rotli, crispy."
Indian dishes,Karanji,West India,A crispy sweet dish from Maharashtra
Indian dishes,Bombil fry,West India,Main Course; Bombay Duck (Fish).
Indian dishes,Chakri (chakali),West India,a Savoury snack. Mixed grain flour.
Indian dishes,Chevdo,West India,"Mixture of Flattened rice, groundnut, chana, masala."
Indian dishes,Cholafali,West India,snack
Indian dishes,Chorafali,West India,"Spicy. Ground chana dal and urad dal, deep fried flattened disk, masala, sprinkle with red chili powder on top."
Indian dishes,Kopra paak,West India,"Sweet coconut halwa/barfi: Halwa is soft, barfi more like cake."
Indian dishes,Daal Dhokli,West India,Daal Dhokli is widely cooked and eaten all over Rajasthan and Gujarat. Very small dumplings of wheat flour are cooked along with green gram or pegeon dal and whole red chili and red mustard is used as tempering.
snack foods from the Indian subcontinent,Dabeli,,"A snack food of India, originating in the Kutch or Kachchh region of Gujarat, it is a spicy snack made by mixing boiled potatoes with a dabeli masala, and putting the mixture between ladi-pav (burger bun) and served with chutneys made from tamarind, date, garlic, red chillies, etc. and garnished with pomegranate and roasted peanuts."
snack foods from the Indian subcontinent,Dahi vada,,"An Indian chaat, prepared by soaking vadas in thick yogurt. To add more flavor, they may be topped with coriander or mint leaves, chillies, crushed black pepper, chaat masala, cumin, shredded coconut, green chillies, or boondi."
Indian dishes,Dalithoy,West India,Soup made with split yellow lentils.
snack foods from the Indian subcontinent,Dhokla,,"Dhokla is a vegetarian food item, from the Indian state of Gujarat, is made with a fermented batter derived from rice and split chickpeas."
Indian dishes,Doodhpak,West India,A milk-based sweet dessert with nuts
Indian dishes,Dudhi no halwo,West India,Sweet. Bottle gourd halwa
Indian dishes,Dum aaloo,West India,"Main dish. Potatoes deep fry, yogurt, coriander powder, ginger powder."
Indian dishes,Pohe,West India,Snack. Flattened rice
Indian dishes,Gajar halwo,West India,Sweet. Carrot Halwa
Indian dishes,Gatta curry,West India,Curry with steamed dumplings made from chickpea flour cooked in a spiced yoghurt sauce.
Indian dishes,Ghari (sweet from Surat),West India,Sweet
Indian dishes,Ghooghra,West India,Sweet
Indian dishes,Gud papdi (Gol papdi),West India,Sweet
snack foods from the Indian subcontinent,Gulab jamun,,"A popular cheese-based dessert, similar to a dumpling, popular in countries of the Indian Subcontinent such as India, Pakistan, Sri Lanka, Nepal and Bangladesh. In Nepal it is widely known as Lalmohan, served with or without yogurt, and is a popular dessert on all occasions. It is made mainly from milk solids, traditionally from freshly curdled milk. These milks solids, known as khoya in India, are kneaded into a dough, sometimes with a pinch of flour, and then shaped into small balls and deep fried at a low temperature of about 148 °C.[20]  The balls are then soaked in a light sugar syrup flavored with green cardamom and rosewater, kewra or saffron.[21]"
Indian dishes,Halvasan,West India,Sweet
Indian dishes,Handwo (steamed dish),West India,Snack
Indian dishes,Gur,West India,Sweet unrefined brown sugar sold in blocks[3].
Indian dishes,Jeera Aloo,West India,Typical West Indian dish
Indian dishes,Juvar no rotlo,West India,Thick sorghum flatbread.
Indian dishes,Kansar,West India,Sweet
Indian dishes,Keri no ras,West India,Sweet
snack foods from the Indian subcontinent,Khakhra,,a popular vegetarian roasted Gujarati Indian thin cracker bread or snack item made from mat bean and wheat flour and oil.[28]
snack foods from the Indian subcontinent,Khandvi,,"A collective term used for a type of snacks in Gujarati cuisine, from the Indian state of Gujarat.[30] It is made mainly of gram flour and yogurt which is slowly cooked into a paste. The mixture is then spread out to cool, cut, and rolled into scroll shapes.  Some are fried items which are then dried and can be stored, others are fresh or steamed."
Indian dishes,Kombdi vade,West India,Chicken Curry with Bread. Chicken.
Indian dishes,Koshimbir,West India,"a salad, usually served as a side"
Indian dishes,Laapsi,West India,Sweet coarse ground/ broken wheat cooked with butter and sugar.
snack foods,Laddu,Batter and dough-based,"This is a desert made with flour, fat, and sugar, sometimes with the addition of nuts or coconut."
Indian dishes,Locha,West India,"Surat (Gujarat) special Spicy dish. Ground chanadal, masala."
Indian dishes,Malpua,West India,Sweet
Indian dishes,Methi na Gota,West India,Snack. Fried fenugreek dumplings.
Indian dishes,Mohanthal,West India,a sweet prepared from gram flour and ghee dry fruits
Indian dishes,Muthiya,West India,"Gujarati Snack. Whole wheat flour, methi leaves, besan/chickpeas flour and coriander leaves/cilantro."
Indian dishes,Oondees,West India,Breakfast delicacy. Spherical shaped rice or semolina about four inches (10 cm) in diameter.
snack foods from the Indian subcontinent,Panipuri,,"A popular street snack in India, Pakistan, Bangladesh, Sri Lanka, and Nepal, it consists of a round, hollow puri, fried crisp and filled with a mixture of flavored water (pani), tamarind chutney, chili, chaat masala, potato, onion, and chickpeas. It is generally small enough to fit completely into one's mouth. It is a popular street food dish in Mumbai, Delhi, Karachi, Lahore, Dhaka, Kolkata, and Kathmandu.[citation needed]"
Indian dishes,Patra,West India,"Snack. Taro leaves, coconut, seeds, dal."
snack foods from the Indian subcontinent,Pav Bhaji,,"A Maharashtrian fast food dish that originated in Maharashtrain cuisine, it is native to Maharashtra and has now become popular in most metropolitan areas in India, especially in those of central and western Indian states[50] such as Gujarat and Karnataka.[51] Pav in Marathi means a small loaf of bread. Bhaji in Marathi means vegetable dish. Pav bhaji consists of bhaji (a thick potato-based curry) garnished with coriander, chopped onion, and a dash of lemon and lightly toasted pav. The pav is usually buttered on all sides."
Indian dishes,Penda,West India,Sweet
Indian dishes,Pooran-poli,West India,"Sweet stuffed bread. Wheat flour, gram."
snack foods from the Indian subcontinent,Puri,,"Eaten for breakfast or as a snack or light meal, puri is prepared with wheat flour, either atta (whole wheat flour), maida (refined wheat flour), or sooji (coarse wheat flour). A dough of flour and salt is either rolled out in a small circle or rolled out and cut out in small circles and deep fried in ghee or vegetable oil.  While deep frying, it puffs up like a round ball because moisture in the dough changes into steam which expands in all directions. When it is golden-brown in color, it is removed and may be served hot or saved for later use (as with the snack food pani puri)."
Indian dishes,Puri Bhaji,West India,Breakfast or Snack
Indian dishes,Rasya muthia,West India,Snack. A spicy yogurt dumpling soup.
